wavenumber,abs,,
10686.12023,0.97584,62.57984,59.33056548
10686.08223,0.99277,62.17352,59.1376403
10686.04823,1.01089,61.73864,58.93045478
10686.01023,1.00127,61.96952,59.04054116
10685.97123,1.01912,61.54112,58.83611136
10685.93023,1.00954,61.77104,58.94591589
10685.89123,0.99966,62.00816,59.05894513
10685.85523,1.00293,61.92968,59.02155962
10685.82123,0.98357,62.39432,59.24255649
10685.78423,0.98036,62.47136,59.27911943
10685.75123,1.0073,61.8248,58.97156094
10685.71423,1.00157,61.96232,59.03711121
10685.67223,0.99141,62.20616,59.15316137
10685.63823,0.99823,62.04248,59.07528671
10685.61023,1,62,59.05505906
10685.57623,0.99932,62.01632,59.06283095
10685.52923,0.98852,62.27552,59.18613013
10685.51623,1.01949,61.53224,58.83186637
10685.35323,1.00085,61.9796,59.04534275
10685.35223,0.97477,62.60552,59.34273755
10685.31523,0.98571,62.34296,59.21816866
10685.27723,0.98722,62.30672,59.20095438
10685.24223,0.99745,62.0612,59.0841984
10685.20623,1.00405,61.9028,59.00874935
10685.16223,0.99579,62.10104,59.10315981
10685.15923,0.9644,62.8544,59.46057517
10685.12123,1.0015,61.964,59.03791155
10685.08723,0.99705,62.0708,59.08876797
10685.05223,1.00184,61.95584,59.03402409
10685.01723,1.00195,61.9532,59.03276633
10684.98523,0.983,62.408,59.24905063
10684.94923,0.98964,62.24864,59.17335549
10684.91023,0.9948,62.1248,59.11446523
10684.87323,1.02106,61.49456,58.81385041
10684.83623,0.98765,62.2964,59.19605139
10684.80223,1.00884,61.78784,58.95393117
10684.76823,1.00492,61.88192,58.9987966
10684.73423,0.99327,62.16152,59.131933
10684.70723,0.99629,62.08904,59.09744918
10684.51323,1.01383,61.66808,58.89676986
10684.51123,1.00431,61.89656,59.00577514
10684.49923,0.99114,62.21264,59.15624227
10684.47223,0.99965,62.0084,59.05905942
10684.43523,1.00684,61.83584,58.97682596
10684.39823,0.99563,62.10488,59.1049871
10684.35323,1.00591,61.85816,58.98746901
10684.32123,0.98416,62.38016,59.23583375
10684.31923,1.0084,61.7984,58.95896878
10684.28323,0.99461,62.12936,59.11663471
10684.24623,1.0021,61.9496,59.03105115
10684.21423,0.98379,62.38904,59.2400498
10684.17523,0.97817,62.52392,59.3040513
10684.13623,0.98572,62.34272,59.21805468
10684.09923,0.97319,62.64344,59.3607067
10684.06423,0.97385,62.6276,59.35320126
10684.03023,0.98513,62.35688,59.22477944
10683.99223,0.98273,62.41448,59.25212654
10683.95623,1.00005,61.9988,59.05448755
10683.91423,1.00609,61.85384,58.98540921
10683.88223,0.99951,62.01176,59.0606595
10683.85323,1.00654,61.84304,58.98025941
10683.83423,0.99139,62.20664,59.15338959
10683.66723,0.99719,62.06744,59.08716866
10683.63123,0.99293,62.16968,59.13581402
10683.62623,0.99895,62.0252,59.06705935
10683.58823,1.01014,61.75664,58.93904478
10683.54923,0.99754,62.05904,59.08317019
10683.51423,1.01226,61.70576,58.91476046
10683.47923,1.0058,61.8608,58.98872774
10683.47323,0.99612,62.09312,59.09939086
10683.44723,0.98049,62.46824,59.27763912
10683.41123,0.98478,62.36528,59.22876835
10683.37123,1.01205,61.7108,58.91716643
10683.33023,1.03398,61.18448,58.66538161
10683.29323,0.99399,62.14424,59.12371352
10683.25823,1.01298,61.68848,58.90651068
10683.22223,0.98074,62.46224,59.27479228
10683.18923,0.99673,62.07848,59.09242337
10683.14923,0.99624,62.09024,59.09802027
10683.11223,1.02047,61.50872,58.82062138
10683.08123,1.01575,61.622,58.87476115
10683.04723,0.99941,62.01416,59.06180238
10683.02323,1.00698,61.83248,58.97522361
10683.00923,1.00873,61.79048,58.95519061
10682.82723,0.99496,62.12096,59.11263824
10682.78323,0.97286,62.65136,59.36445906
10682.78323,1.00245,61.9412,59.02704888
10682.74623,0.99993,62.00168,59.05585915
10682.71023,0.99715,62.0684,59.08762561
10682.67623,0.97884,62.50784,59.29642485
10682.64223,0.971,62.696,59.38560432
10682.63023,1.0298,61.2848,58.71345672
10682.60523,0.99852,62.03552,59.07197305
10682.56523,0.97301,62.64776,59.36275347
10682.52523,0.98915,62.2604,59.17894474
10682.48923,1.0123,61.7048,58.91430217
10682.45323,0.99318,62.16368,59.13296035
10682.41623,1.02902,61.30352,58.72242332
10682.37823,0.98884,62.26784,59.18248052
10682.34123,0.97173,62.67848,59.37730627
10682.30623,1.01512,61.63712,58.88198366
10682.27023,1.01007,61.75832,58.93984645
10682.23523,0.9901,62.2376,59.16810796
10682.20223,0.98859,62.27384,59.1853318
10682.17223,0.99646,62.08496,59.09550744
10682.14923,1.00343,61.91768,59.01584109
10681.97823,0.99617,62.09192,59.09881979
10681.94023,0.98341,62.39816,59.24437948
10681.93923,1.01104,61.73504,58.92873662
10681.90723,1.014,61.664,58.8948215
10681.87323,1.00365,61.9124,59.01332477
10681.83723,0.9879,62.2904,59.19320062
10681.80023,0.98562,62.34512,59.21919452
10681.79123,0.99656,62.08256,59.09436521
10681.76123,1.00738,61.82288,58.97064524
10681.72023,1.00144,61.96544,59.03859754
10681.68323,1.00576,61.86176,58.98918545
10681.64823,0.9659,62.8184,59.44354465
10681.61323,0.98691,62.31416,59.20448885
10681.57623,0.99269,62.17544,59.13855341
10681.54223,1.01176,61.71776,58.9204888
10681.50123,0.97069,62.70344,59.38912779
10681.46523,0.98009,62.47784,59.28219379
10681.42823,0.99187,62.19512,59.14791205
10681.39323,0.98614,62.33264,59.21326709
10681.35723,0.99086,62.21936,59.15943712
10681.34123,0.98931,62.25656,59.17711973
10681.32923,1.0041,61.9016,59.0081774
10681.14023,1.00419,61.89944,59.00714787
10681.10223,0.99934,62.01584,59.06260238
10681.09323,1.0082,61.8032,58.96125847
10681.06823,1.00501,61.87976,58.99776691
10681.03123,0.98252,62.41952,59.25451882
